1108977,4.72,293.20,1466.40,32.69,6360
1110009,4.70,321.60,1520.80,32.69,6300
1111041,4.68,300.60,1584.80,32.75,6300
1112073,4.73,335.32,1351.20,32.75,6300
1113105,4.74,294.12,1377.60,32.75,6300
1115169,4.72,314.40,1404.00,32.75,6360
1116201,4.72,293.20,1376.00,32.75,6300
1117233,4.69,315.20,1488.80,32.81,6300
1118265,4.70,289.72,1519.20,32.81,6300
1119297,4.73,302.52,1432.80,32.81,6300
1120329,4.73,287.00,1346.40,32.81,6300
1121361,4.72,317.00,1444.80,32.81,6300
1122393,4.74,333.40,1576.80,32.81,6300
1123425,4.74,287.60,1352.80,32.75,6300
1124457,4.70,318.92,1492.00,32.81,6300
1125489,4.73,316.20,1445.60,32.81,6300
1126521,4.70,319.72,1517.60,32.81,6300
1127553,4.73,335.92,1367.20,32.81,6300
1128585,4.75,334.20,1338.40,32.81,6300
1129617,4.70,323.80,1521.60,32.81,6300
1130649,4.70,318.20,1511.20,32.81,6300
1131681,4.70,318.72,1509.60,32.81,6300
1132713,4.69,320.60,1517.60,32.88,6300
1133745,4.69,318.60,1512.80,32.81,6300
1134777,4.71,328.52,1437.60,32.81,6300
1135809,4.68,332.80,1564.80,32.88,6300
1136841,4.69,332.80,1566.40,32.88,6300
1137873,4.73,313.32,1414.40,32.81,6300
1138905,4.70,284.40,1330.40,32.88,6300
1140969,4.69,311.92,1558.40,32.88,6300
1142001,4.71,321.20,1520.80,32.88,6300
1143033,4.72,298.12,1408.00,32.88,6300
1144065,4.72,318.52,1448.00,32.88,6300
1145097,4.71,321.32,1476.00,32.88,6300
1146129,4.71,304.00,1439.20,32.88,6300
1147161,4.71,289.72,1420.80,32.88,6300
1148193,4.73,298.72,1396.00,32.88,6300
1149225,4.70,317.92,1502.40,32.88,6300
1150257,4.70,311.12,1477.60,32.88,6300
1151289,4.74,316.32,1397.60,32.88,6300
1152321,4.72,310.00,1453.60,32.88,6300
1153353,4.70,320.92,1512.80,32.88,6300
1154385,4.70,284.92,1512.80,32.88,6300
1155417,4.72,312.52,1470.40,32.88,6300
1156449,4.70,319.32,1516.80,32.88,6300
1157481,4.72,310.92,1398.40,32.88,6300
1158513,4.70,319.92,1516.80,32.88,6300
1159545,4.71,313.52,1488.80,32.88,6300
1160577,4.73,320.20,1426.40,32.94,6300
1161609,4.69,290.92,1488.00,32.88,6300
