46453,4.72,304.52,1394.40,32.13,4320
47485,4.72,346.40,1640.00,32.13,4380
48517,4.68,291.60,1361.60,32.13,4320
49549,4.66,316.12,1435.20,32.19,4380
50581,4.69,297.72,1389.60,32.19,4380
51613,4.64,298.40,1373.60,32.19,4320
52645,4.68,298.40,1386.40,32.19,4320
53677,4.72,359.40,1622.40,32.19,4320
54709,4.72,303.80,1423.20,32.19,4380
55741,4.73,345.40,1629.60,32.19,4380
56773,4.66,293.72,1371.20,32.19,4380
57805,4.70,345.12,1634.40,32.19,4320
58837,4.67,310.32,1367.20,32.25,4320
59869,4.67,319.60,1499.20,32.25,4320
60901,4.68,301.80,1380.00,32.25,4320
61933,4.72,318.92,1490.40,32.25,4320
62965,4.72,338.00,1675.20,32.25,4320
63997,4.67,297.80,1507.20,32.25,4320
65029,4.68,335.72,1588.80,32.31,4320
66061,4.73,344.20,1615.20,32.31,4320
67093,4.73,332.92,1571.20,32.31,4260
68125,4.72,361.40,1621.60,32.31,4320
69157,4.66,310.60,1466.40,32.31,4320
70189,4.71,296.00,1381.60,32.31,4260
71221,4.72,303.52,1394.40,32.31,4320
72253,4.72,339.60,1596.80,32.38,4320
73285,4.66,303.32,1353.60,32.38,4320
74317,4.71,295.60,1383.20,32.38,4320
75349,4.65,290.60,1359.20,32.38,4380
76381,4.71,299.20,1388.00,32.38,4320
77413,4.72,359.60,1701.60,32.38,4320
78445,4.73,342.72,1488.80,32.38,4380
79477,4.70,344.40,1626.40,32.44,4380
80509,4.67,315.92,1488.80,32.44,4380
81541,4.65,303.00,1396.00,32.44,4320
82573,4.67,321.52,1516.80,32.44,4320
83605,4.72,305.80,1397.60,32.44,4320
84637,4.67,306.12,1439.20,32.44,4320
85669,4.69,358.20,1694.40,32.44,4320
86701,4.72,328.32,1694.40,32.44,4320
87733,4.72,298.40,1396.00,32.44,4380
88765,4.72,354.60,1599.20,32.44,4380
89797,4.67,307.40,1452.00,32.44,4380
90829,4.68,305.40,1428.80,32.50,4320
91861,4.72,337.32,1447.20,32.44,4380
92893,4.68,356.60,1687.20,32.44,4320
93925,4.71,320.32,1664.80,32.50,4320
94957,4.65,295.20,1379.20,32.50,4320
95989,4.66,304.52,1436.80,32.50,4380
97021,4.68,290.12,1435.20,32.50,4320
